Name,Team,Pos,Opp,Salary,SS Proj,Own,Adj Own,p25,p50,p75,p85,p95,p99,Status
Efton Chism III,NE,WR,at JAX,3000,0.88,0.05,0.02,0.0,0.0,1.5,2.2,4.2,8.7,
Odell Beckham Jr.,NYG,WR,vs TEN,3300,0.87,,0.00,0.0,0.0,1.1,2.1,4.3,10.4,
Kimani Vidal,LAC,RB,at BUF,4000,0.86,0.01,0.00,0.0,0.2,1.3,1.9,3.6,8.7,
Tylan Wallace,CLE,WR,vs CAR,3000,0.84,0.06,0.02,0.0,0.0,1.3,2.1,4.1,9.3,
Isaiah Bond,CLE,WR,vs CAR,3000,0.82,0.01,0.00,0.0,0.0,1.1,2.1,4.2,9.5,
Demond Claiborne,MIN,RB,at TB,4400,0.80,,0.00,0.0,0.1,1.1,1.8,3.1,8.3,
Dylan Laube,LV,RB,at NO,4000,0.77,,0.00,0.0,0.1,1.2,1.8,3.2,8.4,
Jake Briningstool,KC,TE,at MIA,2500,0.65,0.01,0.00,0.0,0.0,0.0,1.6,3.3,9.6,
Jelani Woods,NYJ,TE,at DET,2500,0.63,0.05,0.01,0.0,0.0,0.0,1.6,3.2,8.8,
Andrew Beck,NYJ,RB,at DET,4000,0.61,,0.00,0.0,0.0,0.0,1.5,2.8,8.5,
Brayden Willis,SF,TE,vs ARI,2500,0.58,,0.00,0.0,0.0,0.0,1.5,3.0,9.5,
Cyrus Allen,KC,WR,at MIA,3600,0.58,0.01,0.00,0.0,0.0,0.0,1.5,3.2,9.0,
Jalen Brooks,ARI,WR,at SF,3000,0.56,0.01,0.00,0.0,0.0,0.0,1.5,3.1,8.8,
Alec Ingold,LAC,RB,at BUF,4000,0.55,,0.00,0.0,0.0,0.0,1.5,2.6,8.1,
Jordan Watkins,SF,WR,vs ARI,3100,0.55,0.01,0.00,0.0,0.0,0.0,1.4,3.3,9.0,
Kevin Austin Jr.,NO,WR,vs LV,3000,0.53,0.03,0.01,0.0,0.0,0.0,1.4,3.1,8.3,
Sean Tucker,TB,RB,vs MIN,4000,0.53,,0.00,0.0,0.0,0.4,0.7,2.6,7.3,
Ian Thomas,LV,TE,at NO,2500,0.53,,0.00,0.0,0.0,0.0,1.5,2.7,7.7,
Dareke Young,LV,WR,at NO,3000,0.53,0.01,0.00,0.0,0.0,0.0,1.4,3.1,8.2,
Marquez Valdes-Scantling,LAC,WR,at BUF,3000,0.53,0.01,0.00,0.0,0.0,0.0,1.5,2.9,8.4,
Robert Tonyan,PIT,TE,vs CIN,2500,0.52,0.01,0.00,0.0,0.0,0.0,1.5,2.8,7.7,
Myles Price,MIN,WR,at TB,3000,0.51,0.01,0.00,0.0,0.0,0.0,1.4,2.9,8.3,
Eric Saubert,SEA,TE,at WAS,2500,0.51,,0.00,0.0,0.0,0.0,1.3,2.8,8.9,
Patrick Ricard,NYG,RB,vs TEN,4000,0.51,,0.00,0.0,0.0,0.0,1.4,2.6,8.3,
Greg Dortch,BUF,WR,vs LAC,3000,0.50,0.11,0.04,0.0,0.0,0.0,1.4,2.8,8.3,
Max Bredeson,MIN,RB,at TB,4000,0.50,,0.00,0.0,0.0,0.0,1.4,2.3,8.1,
Josh Cuevas,BAL,TE,at DAL,2500,0.50,0.01,0.00,0.0,0.0,0.0,1.3,2.9,8.4,
Tay Martin,DET,WR,vs NYJ,3000,0.50,0.03,0.01,0.0,0.0,0.0,1.0,2.9,8.6,
Chris Manhertz,NYG,TE,vs TEN,2500,0.50,,0.00,0.0,0.0,0.0,1.3,2.7,8.9,
Tai Felton,MIN,WR,at TB,3000,0.49,0.01,0.00,0.0,0.0,0.0,1.3,2.8,8.3,
Simi Fehoko,ARI,WR,at SF,3000,0.49,0.01,0.00,0.0,0.0,0.0,1.3,2.8,8.0,
Kameron Johnson,TB,WR,vs MIN,3000,0.49,,0.00,0.0,0.0,0.0,1.3,2.9,7.9,
Cade Stover,HOU,TE,at IND,2500,0.48,,0.00,0.0,0.0,0.0,1.4,2.5,8.2,
Reggie Gilliam,NE,RB,at JAX,4000,0.47,0.01,0.00,0.0,0.0,0.0,1.5,2.3,5.3,
