Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
49,5262931177,NeverWorking (12/20),0,189.12001,DST Panthers  FLEX Derrick Henry QB Carson Wentz RB Saquon Barkley RB Aaron Jones Sr. TE Dalton Schultz WR Jaxon Smith-Njigba WR CeeDee Lamb WR Matthew Golden,,Browns ,DST,3.11%,6
49,5262931178,NeverWorking (13/20),0,189.12001,DST Panthers  FLEX Derrick Henry QB Carson Wentz RB Saquon Barkley RB Aaron Jones Sr. TE Dalton Schultz WR Jaxon Smith-Njigba WR CeeDee Lamb WR Matthew Golden,,Lamar Jackson,QB,3.02%,15.8
49,5262931179,NeverWorking (14/20),0,189.12001,DST Panthers  FLEX Derrick Henry QB Carson Wentz RB Saquon Barkley RB Aaron Jones Sr. TE Dalton Schultz WR Jaxon Smith-Njigba WR CeeDee Lamb WR Matthew Golden,,D'Andre Swift,RB,2.84%,13.9
49,5262931180,NeverWorking (15/20),0,189.12001,DST Panthers  FLEX Derrick Henry QB Carson Wentz RB Saquon Barkley RB Aaron Jones Sr. TE Dalton Schultz WR Jaxon Smith-Njigba WR CeeDee Lamb WR Matthew Golden,,Seahawks ,DST,2.68%,8
49,5262931181,NeverWorking (16/20),0,189.12001,DST Panthers  FLEX Derrick Henry QB Carson Wentz RB Saquon Barkley RB Aaron Jones Sr. TE Dalton Schultz WR Jaxon Smith-Njigba WR CeeDee Lamb WR Matthew Golden,,Colston Loveland,TE,2.62%,1.3
49,5262933708,NeverWorking (17/20),0,189.12001,DST Panthers  FLEX Derrick Henry QB Carson Wentz RB Saquon Barkley RB Aaron Jones Sr. TE Dalton Schultz WR Jaxon Smith-Njigba WR CeeDee Lamb WR Matthew Golden,,Ashton Jeanty,FLEX,2.60%,10.3
49,5262934384,NeverWorking (18/20),0,189.12001,DST Panthers  FLEX Derrick Henry QB Carson Wentz RB Saquon Barkley RB Aaron Jones Sr. TE Dalton Schultz WR Jaxon Smith-Njigba WR CeeDee Lamb WR Matthew Golden,,Trevor Lawrence,QB,2.52%,7.16
49,5262934650,NeverWorking (19/20),0,189.12001,DST Panthers  FLEX Derrick Henry QB Carson Wentz RB Saquon Barkley RB Aaron Jones Sr. TE Dalton Schultz WR Jaxon Smith-Njigba WR CeeDee Lamb WR Matthew Golden,,Rome Odunze,WR,2.49%,7.3
49,5262934742,NeverWorking (20/20),0,189.12001,DST Panthers  FLEX Derrick Henry QB Carson Wentz RB Saquon Barkley RB Aaron Jones Sr. TE Dalton Schultz WR Jaxon Smith-Njigba WR CeeDee Lamb WR Matthew Golden,,DeMario Douglas,WR,2.48%,1.9
69,5263855454,stanchat,0,188.96,DST Patriots  FLEX Jalen Coker QB Dak Prescott RB Bijan Robinson RB Aaron Jones Sr. TE Dalton Schultz WR CeeDee Lamb WR George Pickens WR Stefon Diggs,,Breece Hall,RB,2.22%,14.2
70,5263525775,BChap71 (2/2),0,187.86,DST Panthers  FLEX Ashton Jeanty QB Dak Prescott RB Derrick Henry RB Aaron Jones Sr. TE Dalton Schultz WR CeeDee Lamb WR Parker Washington WR Deebo Samuel Sr.,,Mike Gesicki,TE,2.17%,0
71,5259097562,pokerjohnny,0,187.56,DST Panthers  FLEX Parker Washington QB Dak Prescott RB Derrick Henry RB Aaron Jones Sr. TE Dalton Schultz WR CeeDee Lamb WR Emeka Egbuka WR Luther Burden III,,Jake Ferguson,TE,2.07%,20.3
72,5262703005,iLLmaculatee (1/20),0,187.48,DST Patriots  FLEX Aaron Jones Sr. QB Brock Purdy RB Bijan Robinson RB Derrick Henry TE Dalton Schultz WR Jaxon Smith-Njigba WR Matthew Golden WR Devaughn Vele,,Tetairoa McMillan,WR,2.04%,18.1
72,5262703006,iLLmaculatee (2/20),0,187.48,DST Patriots  FLEX Aaron Jones Sr. QB Brock Purdy RB Bijan Robinson RB Derrick Henry TE Dalton Schultz WR Jaxon Smith-Njigba WR Matthew Golden WR Devaughn Vele,,Bryce Young,QB,2.04%,24.08
72,5262703007,iLLmaculatee (3/20),0,187.48,DST Patriots  FLEX Aaron Jones Sr. QB Brock Purdy RB Bijan Robinson RB Derrick Henry TE Dalton Schultz WR Jaxon Smith-Njigba WR Matthew Golden WR Devaughn Vele,,Chuba Hubbard,RB,1.97%,14.4
72,5262703008,iLLmaculatee (4/20),0,187.48,DST Patriots  FLEX Aaron Jones Sr. QB Brock Purdy RB Bijan Robinson RB Derrick Henry TE Dalton Schultz WR Jaxon Smith-Njigba WR Matthew Golden WR Devaughn Vele,,Trey McBride,TE,1.95%,18.1
72,5262703009,iLLmaculatee (5/20),0,187.48,DST Patriots  FLEX Aaron Jones Sr. QB Brock Purdy RB Bijan Robinson RB Derrick Henry TE Dalton Schultz WR Jaxon Smith-Njigba WR Matthew Golden WR Devaughn Vele,,T.J. Hockenson,TE,1.92%,5.9
72,5262703010,iLLmaculatee (6/20),0,187.48,DST Patriots  FLEX Aaron Jones Sr. QB Brock Purdy RB Bijan Robinson RB Derrick Henry TE Dalton Schultz WR Jaxon Smith-Njigba WR Matthew Golden WR Devaughn Vele,,Roman Wilson,WR,1.91%,7.8
72,5262703011,iLLmaculatee (7/20),0,187.48,DST Patriots  FLEX Aaron Jones Sr. QB Brock Purdy RB Bijan Robinson RB Derrick Henry TE Dalton Schultz WR Jaxon Smith-Njigba WR Matthew Golden WR Devaughn Vele,,DeVonta Smith,WR,1.90%,30.7
72,5262703012,iLLmaculatee (8/20),0,187.48,DST Patriots  FLEX Aaron Jones Sr. QB Brock Purdy RB Bijan Robinson RB Derrick Henry TE Dalton Schultz WR Jaxon Smith-Njigba WR Matthew Golden WR Devaughn Vele,,Chris Godwin Jr.,WR,1.74%,8.8
72,5262703013,iLLmaculatee (9/20),0,187.48,DST Patriots  FLEX Aaron Jones Sr. QB Brock Purdy RB Bijan Robinson RB Derrick Henry TE Dalton Schultz WR Jaxon Smith-Njigba WR Matthew Golden WR Devaughn Vele,,Drake London,WR,1.71%,8.9
72,5262703014,iLLmaculatee (10/20),0,187.48,DST Patriots  FLEX Aaron Jones Sr. QB Brock Purdy RB Bijan Robinson RB Derrick Henry TE Dalton Schultz WR Jaxon Smith-Njigba WR Matthew Golden WR Devaughn Vele,,Bengals ,DST,1.69%,11
72,5262703015,iLLmaculatee (11/20),0,187.48,DST Patriots  FLEX Aaron Jones Sr. QB Brock Purdy RB Bijan Robinson RB Derrick Henry TE Dalton Schultz WR Jaxon Smith-Njigba WR Matthew Golden WR Devaughn Vele,,Kayshon Boutte,WR,1.67%,6.7
72,5262703016,iLLmaculatee (12/20),0,187.48,DST Patriots  FLEX Aaron Jones Sr. QB Brock Purdy RB Bijan Robinson RB Derrick Henry TE Dalton Schultz WR Jaxon Smith-Njigba WR Matthew Golden WR Devaughn Vele,,Rhamondre Stevenson,RB,1.65%,4.6
72,5262703017,iLLmaculatee (13/20),0,187.48,DST Patriots  FLEX Aaron Jones Sr. QB Brock Purdy RB Bijan Robinson RB Derrick Henry TE Dalton Schultz WR Jaxon Smith-Njigba WR Matthew Golden WR Devaughn Vele,,Justin Herbert,QB,1.55%,9.88
72,5262703018,iLLmaculatee (14/20),0,187.48,DST Patriots  FLEX Aaron Jones Sr. QB Brock Purdy RB Bijan Robinson RB Derrick Henry TE Dalton Schultz WR Jaxon Smith-Njigba WR Matthew Golden WR Devaughn Vele,,Jadarian Price,RB,1.53%,6
72,5262703019,iLLmaculatee (15/20),0,187.48,DST Patriots  FLEX Aaron Jones Sr. QB Brock Purdy RB Bijan Robinson RB Derrick Henry TE Dalton Schultz WR Jaxon Smith-Njigba WR Matthew Golden WR Devaughn Vele,,George Kittle,TE,1.53%,18
